File Name,Domain Name, Private_IP_Found_In_Default_DNS,Private_IP_Found_In_Public_DNS,Default DNS IP's found in Public DNS, Domain Doesn't Work but IP Does,Response Code,Default DNS IP Address,Public DNS Response Codes,All Domain Response Codes,All Default DNS Response Codes,All Public DNS Response Codes,Method
,,,,,,,,,,,,
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,
,,,,,,,,,,,,DNS Poison
,,,,,,,,,,,,
"ISP_AARC_25Mar.csv","https://www.imovies.cc","False","False","True","False","200","['403']","['403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']",""
"ISP_AARC_25Mar.csv","http://animereborn.io/","False","False","True","False","522","['403']","['403']","['451', '522']","['451', '403']","['403']",""
"ISP_AARC_25Mar.csv","http://unblockproject.pw/","False","False","False","False","200","['""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","['""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","['451', '200']","['451', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""', '200']","['200', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","DNS Poison"
"ISP_AARC_25Mar.csv","https://animelon.com/","False","False","True","False","200","['403']","['403']","['HTTPSConnectionPool(host=\'animelon.com\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'animelon.com\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200']","['451', '403']","['403']",""
"ISP_Daniel.csv","https://www.stockspot.com.au/","False","False","True","False","200","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_Daniel.csv","https://animehd47.com/","False","False","False","True","HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","[""HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']","DNS Poison"
"ISP_Daniel.csv","https://www.imovies.cc","False","False","False","True","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']","DNS Poison"
"ISP_Daniel.csv","https://lookmovie.ag/","False","False","False","True","HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","[""HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']","DNS Poison"
"ISP_Max.csv","https://www.stockspot.com.au/","False","False","True","True","4044","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_Max.csv","https://animehd47.com/","False","False","True","True","HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '403']","[""HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']",""
"ISP_Max.csv","https://www.imovies.cc","False","False","True","True","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']",""
"ISP_Max.csv","https://lookmovie.ag/","False","False","True","True","HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '403']","[""HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']",""
"ISP_Max.csv","http://unblockproject.pw/","False","False","True","False","200","['200']","['200']","['451', '200']","['451', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""', '200']","['200', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']",""
"ISP_Max.csv","https://katcr.to/","True","False","True","True","HTTPSConnectionPool(host='katcr.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '403']","[""HTTPSConnectionPool(host='katcr.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['200', '403']",""
"ISP_Max.csv","http://nocensor.surf/","False","False","True","False","200","['200']","['200', '404']","['200']","['200']","['200', '404']",""
"ISP_Max.csv","https://nocensor.casa/","False","False","True","True","HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '412']","[""HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['200', '412']",""
"ISP_Max.csv","http://nocensor.fun/","False","False","True","False","200","['200']","['200']","['200']","['200']","['200']",""
"ISP_Max.csv","https://unblockproject.icu/","False","False","False","True","HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '']","[""HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['200', '']","DNS Poison"
"ISP_Max.csv","https://unblockproject.info/","False","True","True","True","HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '404']","[""HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['200', '404']",""
"ISP_Max.csv","http://123unblock.space/","True","False","True","True","404","['200']","['200', '412']","['404']","['200']","['200', '412']",""
"ISP_Optus_25Mar.csv","https://www.stockspot.com.au/","False","False","True","False","200","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_Optus_25Mar.csv","http://www.anime-sharing.com/","False","False","False","False","451","['451']","['403']","['451', '200']","['451', '403']","['403']","DNS Poison"
"ISP_Optus_25Mar.csv","https://www.imovies.cc","False","False","False","False","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'www.imovies.cc' doesn't match either of 'copyrightpage.com'; '*.copyrightpage.com'"")))","['451']","['403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']","DNS Poison"
"ISP_Optus_25Mar.csv","http://animereborn.io/","False","False","False","False","451","['451']","['403']","['451', '522']","['451', '403']","['403']","DNS Poison"
"ISP_Optus_25Mar.csv","http://unblockproject.pw/","False","False","False","False","451","['451']","['200']","['451', '200']","['451', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""', '200']","['200', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","DNS Poison"
"ISP_Optus_25Mar.csv","https://animelon.com/","False","False","False","False","HTTPSConnectionPool(host='animelon.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'animelon.com' doesn't match either of 'copyrightpage.com'; '*.copyrightpage.com'"")))","['451']","['403']","['HTTPSConnectionPool(host=\'animelon.com\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'animelon.com\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200']","['451', '403']","['403']","DNS Poison"
"ISP_Daniel.csv","https://www.stockspot.com.au/","False","False","True","False","200","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_Daniel.csv","https://animehd47.com/","False","False","False","True","HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","[""HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']","DNS Poison"
"ISP_Daniel.csv","https://www.imovies.cc","False","False","False","True","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']","DNS Poison"
"ISP_Daniel.csv","https://lookmovie.ag/","False","False","False","True","HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","[""HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']","DNS Poison"
"ISP_Optus_25Mar.csv","https://www.stockspot.com.au/","False","False","True","False","200","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_Optus_25Mar.csv","http://www.anime-sharing.com/","False","False","False","False","451","['451']","['403']","['451', '200']","['451', '403']","['403']","DNS Poison"
"ISP_Optus_25Mar.csv","https://www.imovies.cc","False","False","False","False","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'www.imovies.cc' doesn't match either of 'copyrightpage.com'; '*.copyrightpage.com'"")))","['451']","['403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']","DNS Poison"
"ISP_Optus_25Mar.csv","http://animereborn.io/","False","False","False","False","451","['451']","['403']","['451', '522']","['451', '403']","['403']","DNS Poison"
"ISP_Optus_25Mar.csv","http://unblockproject.pw/","False","False","False","False","451","['451']","['200']","['451', '200']","['451', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""', '200']","['200', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","DNS Poison"
"ISP_Optus_25Mar.csv","https://animelon.com/","False","False","False","False","HTTPSConnectionPool(host='animelon.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'animelon.com' doesn't match either of 'copyrightpage.com'; '*.copyrightpage.com'"")))","['451']","['403']","['HTTPSConnectionPool(host=\'animelon.com\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'animelon.com\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200']","['451', '403']","['403']","DNS Poison"
"ISP_AARC_25Mar.csv","https://www.stockspot.com.au/","False","False","True","False","200","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_AARC_25Mar.csv","http://www.anime-sharing.com/","False","False","True","False","200","['403']","['403']","['451', '200']","['451', '403']","['403']",""
"ISP_AARC_25Mar.csv","https://www.imovies.cc","False","False","True","False","200","['403']","['403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']",""
"ISP_AARC_25Mar.csv","http://animereborn.io/","False","False","True","False","522","['403']","['403']","['451', '522']","['451', '403']","['403']",""
"ISP_AARC_25Mar.csv","http://unblockproject.pw/","False","False","False","False","200","['""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","['""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","['451', '200']","['451', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""', '200']","['200', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","DNS Poison"
"ISP_AARC_25Mar.csv","https://animelon.com/","False","False","True","False","200","['403']","['403']","['HTTPSConnectionPool(host=\'animelon.com\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'animelon.com\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200']","['451', '403']","['403']",""
"ISP_Daniel.csv","https://www.stockspot.com.au/","False","False","True","False","200","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_Daniel.csv","https://animehd47.com/","False","False","False","True","HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","[""HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']","DNS Poison"
"ISP_Daniel.csv","https://www.imovies.cc","False","False","False","True","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']","DNS Poison"
"ISP_Daniel.csv","https://lookmovie.ag/","False","False","False","True","HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['403']","[""HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']","DNS Poison"
"ISP_Max.csv","https://www.stockspot.com.au/","False","False","True","True","4044","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_Max.csv","https://animehd47.com/","False","False","True","True","HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '403']","[""HTTPSConnectionPool(host='animehd47.com'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']",""
"ISP_Max.csv","https://www.imovies.cc","False","False","True","True","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']",""
"ISP_Max.csv","https://lookmovie.ag/","False","False","True","True","HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '403']","[""HTTPSConnectionPool(host='lookmovie.ag'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['403', '200']",""
"ISP_Max.csv","http://unblockproject.pw/","False","False","True","False","200","['200']","['200']","['451', '200']","['451', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""', '200']","['200', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']",""
"ISP_Max.csv","https://katcr.to/","True","False","True","True","HTTPSConnectionPool(host='katcr.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '403']","[""HTTPSConnectionPool(host='katcr.to'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['200', '403']",""
"ISP_Max.csv","http://nocensor.surf/","False","False","True","False","200","['200']","['200', '404']","['200']","['200']","['200', '404']",""
"ISP_Max.csv","https://nocensor.casa/","False","False","True","True","HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '412']","[""HTTPSConnectionPool(host='nocensor.casa'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['200', '412']",""
"ISP_Max.csv","http://nocensor.fun/","False","False","True","False","200","['200']","['200']","['200']","['200']","['200']",""
"ISP_Max.csv","https://unblockproject.icu/","False","False","False","True","HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '']","[""HTTPSConnectionPool(host='unblockproject.icu'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['200', '']","DNS Poison"
"ISP_Max.csv","https://unblockproject.info/","False","True","True","True","HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))","['200']","['200', '404']","[""HTTPSConnectionPool(host='unblockproject.info'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['200']","['200', '404']",""
"ISP_Max.csv","http://123unblock.space/","True","False","True","True","404","['200']","['200', '412']","['404']","['200']","['200', '412']",""
"ISP_Optus_25Mar.csv","https://www.stockspot.com.au/","False","False","True","False","200","['200']","['200']","['200', '4044']","['200']","['200']",""
"ISP_Optus_25Mar.csv","http://www.anime-sharing.com/","False","False","False","False","451","['451']","['403']","['451', '200']","['451', '403']","['403']","DNS Poison"
"ISP_Optus_25Mar.csv","https://www.imovies.cc","False","False","False","False","HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'www.imovies.cc' doesn't match either of 'copyrightpage.com'; '*.copyrightpage.com'"")))","['451']","['403']","['HTTPSConnectionPool(host=\'www.imovies.cc\'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname \'www.imovies.cc\' doesn\'t match either of \'copyrightpage.com\'; \'*.copyrightpage.com\'"")))', '200', ""HTTPSConnectionPool(host='www.imovies.cc'; port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1; '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: certificate has expired (_ssl.c:1076)')))""]","['451', '403', '200']","['403', '200']","DNS Poison"
"ISP_Optus_25Mar.csv","http://animereborn.io/","False","False","False","False","451","['451']","['403']","['451', '522']","['451', '403']","['403']","DNS Poison"
"ISP_Optus_25Mar.csv","http://unblockproject.pw/","False","False","False","False","451","['451']","['200']","['451', '200']","['451', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""', '200']","['200', '""(\'Connection aborted.\'; ConnectionResetError(10054; \'An existing connection was forcibly closed by the remote host\'; None; 10054; None))""']","DNS Poison"
